iter,best_val_fit,evals
1,0.8717207535252994,30
2,0.9136958518278128,60
3,0.9380922576147348,90
4,0.9380922576147348,120
5,0.9513056158165178,150
6,0.9579436424760202,180
7,0.9659374669680507,210
8,0.9659374669680507,240
9,0.9659374669680507,270
10,0.9686310408422036,300
11,0.9709980725451716,330
12,0.9710782712268793,360
13,0.9710802162769034,390
14,0.9721006685174871,420
15,0.973755456567059,450
16,0.973755456567059,480
17,0.973755456567059,510
18,0.973755456567059,540
19,0.9741271148273728,570
20,0.9760518465977545,600
21,0.9779926397101362,630
22,0.9779926397101362,660
23,0.9779926397101362,690
24,0.9779926397101362,720
25,0.9779926397101362,750
26,0.9779926397101362,780
27,0.9779926397101362,810
28,0.9779926397101362,840
29,0.9779926397101362,870
30,0.9779926397101362,900
31,0.9779926397101362,930
32,0.9779926397101362,960
33,0.9779926397101362,990
34,0.9779926397101362,1020
35,0.9779926397101362,1050
36,0.9779926397101362,1080
37,0.9779926397101362,1110
38,0.9779926397101362,1140
39,0.9782094374115351,1170
40,0.9800430274562278,1200
41,0.9800430274562278,1230
42,0.9800430274562278,1260
43,0.9800430274562278,1290
44,0.9800430274562278,1320
45,0.9800430274562278,1350
46,0.9800430274562278,1380
47,0.9800430274562278,1410
48,0.9800430274562278,1440
49,0.9800430274562278,1470
50,0.9800430274562278,1500
51,0.9800430274562278,1530
52,0.9800430274562278,1560
53,0.9800430274562278,1590
54,0.9800430274562278,1620
55,0.9800430274562278,1650
56,0.9800430274562278,1680
57,0.9800430274562278,1710
58,0.9800430274562278,1740
59,0.9800430274562278,1770
60,0.9800430274562278,1800
61,0.9800430274562278,1830
62,0.9800430274562278,1860
63,0.9800430274562278,1890
64,0.9801038040023327,1920
65,0.980375215730407,1950
66,0.980375215730407,1980
67,0.980375215730407,2010
68,0.980375215730407,2040
69,0.9804141673613578,2070
70,0.9804141673613578,2100
71,0.9804141673613578,2130
72,0.9804141673613578,2160
73,0.9804827051243473,2190
74,0.9804827051243473,2220
75,0.9804827051243473,2250
76,0.9804827051243473,2280
77,0.9804827051243473,2310
78,0.9805008584567179,2340
79,0.9806420803792987,2370
80,0.9808179241920773,2400
81,0.9808179241920773,2430
82,0.9808179241920773,2460
83,0.9808691776009025,2490
84,0.9810622196643658,2520
85,0.9811697040821484,2550
86,0.9811697040821484,2580
87,0.981239314522746,2610
88,0.981239314522746,2640
89,0.9813193699476597,2670
90,0.9813193699476597,2700
91,0.9813588392939369,2730
92,0.9813588392939369,2760
93,0.9813588392939369,2790
94,0.9813588392939369,2820
95,0.9814196643936811,2850
96,0.9814196643936811,2880
97,0.9814196643936811,2910
98,0.981459248169961,2940
99,0.981459248169961,2970
100,0.981484110737614,3000
101,0.9815470855813315,3030
102,0.9815470855813315,3060
103,0.9816068708017811,3090
104,0.9816391253386648,3120
105,0.9816490435199997,3150
106,0.9816490435199997,3180
107,0.9816899051154829,3210
108,0.9817053198920086,3240
109,0.9817222208444694,3270
110,0.9817222208444694,3300
111,0.9817222208444694,3330
112,0.9817222208444694,3360
113,0.9817411426038453,3390
114,0.9817709443717811,3420
115,0.9818646837817379,3450
116,0.9818882029227768,3480
117,0.9818882029227768,3510
118,0.9819405299276509,3540
119,0.9819405299276509,3570
120,0.9819405299276509,3600
121,0.9819930151859252,3630
122,0.982009463042428,3660
123,0.982009463042428,3690
124,0.9820741810913193,3720
125,0.9820741810913193,3750
126,0.9820741810913193,3780
127,0.9820741810913193,3810
128,0.982099012948234,3840
129,0.982099012948234,3870
130,0.982099012948234,3900
131,0.9820992641350796,3930
132,0.9821623328270329,3960
133,0.9821665608734554,3990
134,0.9821665608734554,4020
135,0.9821903950745731,4050
136,0.9822400246761196,4080
137,0.9822712960011967,4110
138,0.9822712960011967,4140
139,0.9822862171105818,4170
140,0.9822871725675046,4200
141,0.9822871725675046,4230
142,0.9822871725675046,4260
143,0.9822876351816808,4290
144,0.982360397344979,4320
145,0.982360397344979,4350
146,0.982360397344979,4380
147,0.9824096188761644,4410
148,0.9824096188761644,4440
149,0.9824096188761644,4470
150,0.982418149622202,4500
151,0.982442588330339,4530
152,0.9824590994188549,4560
153,0.9824870177002959,4590
154,0.9824999820480437,4620
155,0.9825101592369393,4650
156,0.9825101592369393,4680
157,0.9825110895485057,4710
158,0.982541051619146,4740
159,0.982541051619146,4770
160,0.982588891985694,4800
161,0.982588891985694,4830
162,0.982588891985694,4860
163,0.982588891985694,4890
164,0.9826135199203292,4920
165,0.9826135199203292,4950
166,0.9826501065563316,4980
167,0.9826967100191708,5010
168,0.9826967100191708,5040
169,0.9827106570847832,5070
170,0.9827106570847832,5100
171,0.9827360153749304,5130
172,0.9827360153749304,5160
173,0.9827579959990252,5190
174,0.9827579959990252,5220
175,0.9827579959990252,5250
176,0.9827579959990252,5280
177,0.9827579959990252,5310
178,0.9827579959990252,5340
179,0.9827579959990252,5370
180,0.9827592629360427,5400
181,0.9827592629360427,5430
182,0.9827750146767004,5460
183,0.9827844429985767,5490
184,0.9827937140932134,5520
185,0.9827965592731621,5550
186,0.9828005354714631,5580
187,0.9828005354714631,5610
188,0.9828007927786007,5640
189,0.9828007927786007,5670
190,0.9828007927786007,5700
191,0.982803343896066,5730
192,0.982803343896066,5760
193,0.982803343896066,5790
194,0.982803343896066,5820
195,0.982803343896066,5850
196,0.9828038277221892,5880
197,0.982810741060496,5910
198,0.9828146318680596,5940
199,0.9828146318680596,5970
200,0.9828196150464595,6000
